Description:	mydgemm

L1	L2	Gflops
4	128	3.176
8	128	7.564
12	128	9.961
16	128	11.431
20	128	11.693
24	128	12.138
28	128	12.406
32	128	12.911
36	128	12.802
40	128	12.650
44	128	12.724
48	128	12.704
52	128	12.337
56	128	12.246
60	128	11.917
64	128	11.788
68	128	11.799
72	128	11.729
76	128	11.690
80	128	11.645
84	128	11.562
88	128	11.533
92	128	11.407
96	128	11.477
100	128	11.424
104	128	11.366
108	128	11.264
112	128	11.200
116	128	11.104
120	128	11.026
124	128	10.916
128	128	10.976
132	128	10.982
136	128	10.974
140	128	10.976
144	128	10.975
148	128	10.972
152	128	10.972
156	128	10.988
160	128	10.982
164	128	10.975
168	128	10.991
172	128	10.987
176	128	10.976
180	128	10.987
184	128	10.973
188	128	10.988
192	128	10.981
196	128	10.976
200	128	10.985
204	128	10.974
208	128	10.976
212	128	10.987
216	128	10.986
220	128	10.983
224	128	10.983
228	128	10.973
232	128	10.984
236	128	10.971
240	128	10.974
244	128	10.985
248	128	10.986
252	128	10.985
