Description:	mydgemm

L1	L2	Gflops
32	32	13.064
32	36	11.894
32	40	12.128
32	44	12.311
32	48	12.599
32	52	12.732
32	56	12.861
32	60	12.933
32	64	13.077
32	68	12.579
32	72	12.659
32	76	12.714
32	80	12.827
32	84	12.831
32	88	12.880
32	92	12.916
32	96	13.098
32	100	12.844
32	104	12.862
32	108	12.925
32	112	12.998
32	116	12.989
32	120	12.261
32	124	12.912
32	128	12.988
32	132	12.831
32	136	12.823
32	140	12.842
32	144	12.884
32	148	12.883
32	152	12.893
32	156	12.919
32	160	13.003
32	164	12.886
32	168	12.865
32	172	12.886
32	176	12.893
32	180	12.918
32	184	12.909
32	188	12.914
32	192	13.012
32	196	12.930
32	200	12.922
32	204	12.925
32	208	12.958
32	212	12.949
32	216	12.945
32	220	12.949
32	224	13.014
32	228	12.926
32	232	12.915
32	236	12.923
32	240	12.963
32	244	12.939
32	248	12.933
32	252	12.816
32	256	13.006
32	260	12.981
32	264	12.981
32	268	12.975
32	272	12.974
32	276	12.978
32	280	12.964
32	284	12.985
32	288	13.014
32	292	12.976
32	296	12.979
32	300	12.965
32	304	12.963
32	308	12.960
32	312	12.964
32	316	12.986
32	320	13.020
32	324	12.994
32	328	12.992
32	332	12.998
32	336	12.996
32	340	12.975
32	344	12.994
32	348	12.969
32	352	13.012
32	356	12.981
32	360	12.982
32	364	12.970
32	368	12.974
32	372	12.971
32	376	12.974
32	380	12.979
32	384	12.988
32	388	12.985
32	392	12.993
32	396	12.976
32	400	12.967
32	404	12.970
32	408	12.985
32	412	12.981
32	416	13.007
32	420	12.989
32	424	12.974
32	428	12.986
32	432	12.975
32	436	12.980
32	440	12.985
32	444	12.986
32	448	12.980
32	452	12.973
32	456	12.971
32	460	12.969
32	464	12.975
32	468	12.967
32	472	12.975
32	476	12.980
32	480	13.009
32	484	13.010
32	488	13.008
32	492	13.011
32	496	12.994
32	500	13.010
32	504	12.993
32	508	13.011
